Processor,Intel? Core? i5-2400 CPU @ 3.10GHz 3.40 GHz,,,,,,,,
RAM,4.00 GB,,,,,,,,
System type,64-bit Operating System,,,,,,,,
Windows edition,"Windows 7 Ultimate, Service Pack 1",,,,,,,,
,,,,,,,,,
Input State,Input Size ,Selection,Insertion,Shell,Binary Insertion,Bubble,Shaker,Quick,
Sorted,1000,0.001,0.000,0.000,0.000,0.002,0.002,0.001,(s)
Reverse,1000,0.001,0.001,0.000,0.002,0.018,0.018,0.001,(s)
Random,1000,0.001,0.001,0.000,0.001,0.011,0.011,0.001,(s)
Nearly Sorted,1000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,(s)
Sorted,5000,0.032,0.000,0.000,0.001,0.026,0.030,0.001,(s)
Reverse,5000,0.030,0.036,0.000,0.033,0.502,0.529,0.002,(s)
Random,5000,0.032,0.018,0.001,0.018,0.288,0.282,0.002,(s)
Nearly Sorted,5000,0.032,0.000,0.001,0.001,0.031,0.030,0.002,(s)
Sorted,10000,0.127,0.000,0.001,0.001,0.119,0.121,0.003,(s)
Reverse,10000,0.118,0.147,0.001,0.139,1.780,1.870,0.003,(s)
Random,10000,0.125,0.070,0.002,0.075,1.082,1.121,0.005,(s)
Nearly Sorted,10000,0.124,0.001,0.001,0.001,0.116,0.130,0.002,(s)
Sorted,30000,1.127,0.001,0.002,0.002,1.002,1.203,0.008,(s)
Reverse,30000,1.054,1.278,0.003,1.215,16.057,16.052,0.009,(s)
Random,30000,1.135,0.628,0.007,0.597,9.783,9.197,0.016,(s)
Nearly Sorted,30000,1.120,0.001,0.003,0.003,0.965,1.047,0.008,(s)
Sorted,100000,12.535,0.000,0.006,0.008,10.668,12.101,0.027,(s)
Reverse,100000,11.835,14.206,0.009,13.554,176.353,174.950,0.030,(s)
Random,100000,12.428,7.040,0.029,6.749,105.867,102.244,0.052,(s)
Nearly Sorted,100000,12.462,0.002,0.007,0.009,10.575,11.415,0.033,(s)
